2022-02-05T00:56:56.323Z | info | Mapped {/boards/:boardId/tasks, GET} route;
2022-02-05T00:56:56.324Z | info | Mapped {/boards/:boardId/tasks/:taskId, GET} route;
2022-02-05T00:56:56.324Z | info | Mapped {/boards/:boardId/tasks/:taskId, PUT} route;
2022-02-05T00:56:56.325Z | info | Mapped {/boards/:boardId/tasks/:taskId, DELETE} route;
2022-02-05T00:56:56.325Z | info | LoginController {/login}:;
2022-02-05T00:56:56.326Z | info | Mapped {/login, POST} route;
2022-02-05T00:56:56.329Z | info | Nest application successfully started;
2022-02-05T00:56:56.336Z | info | Server started on port 4000;
2022-02-05T00:57:13.662Z | info | Starting Nest application...;
2022-02-05T00:57:13.737Z | info | TypeOrmModule dependencies initialized;
2022-02-05T00:57:13.737Z | info | ColumnModule dependencies initialized;
2022-02-05T00:57:13.737Z | info | AppModule dependencies initialized;
2022-02-05T00:57:13.806Z | info | TypeOrmCoreModule dependencies initialized;
2022-02-05T00:57:13.806Z | info | TypeOrmModule dependencies initialized;
2022-02-05T00:57:13.806Z | info | TypeOrmModule dependencies initialized;
2022-02-05T00:57:13.806Z | info | TypeOrmModule dependencies initialized;
2022-02-05T00:57:13.806Z | info | TypeOrmModule dependencies initialized;
2022-02-05T00:57:13.810Z | info | UserModule dependencies initialized;
2022-02-05T00:57:13.811Z | info | BoardModule dependencies initialized;
2022-02-05T00:57:13.811Z | info | LoginModule dependencies initialized;
2022-02-05T00:57:13.811Z | info | TaskModule dependencies initialized;
2022-02-05T00:57:13.858Z | info | UserController {/users}:;
2022-02-05T00:57:13.861Z | info | Mapped {/users, POST} route;
2022-02-05T00:57:13.863Z | info | Mapped {/users, GET} route;
2022-02-05T00:57:13.865Z | info | Mapped {/users/:id, GET} route;
2022-02-05T00:57:13.866Z | info | Mapped {/users/:id, PUT} route;
2022-02-05T00:57:13.871Z | info | Mapped {/users/:id, DELETE} route;
2022-02-05T00:57:13.871Z | info | BoardController {/boards}:;
2022-02-05T00:57:13.872Z | info | Mapped {/boards, POST} route;
2022-02-05T00:57:13.873Z | info | Mapped {/boards, GET} route;
2022-02-05T00:57:13.874Z | info | Mapped {/boards/:id, GET} route;
2022-02-05T00:57:13.875Z | info | Mapped {/boards/:id, PUT} route;
2022-02-05T00:57:13.876Z | info | Mapped {/boards/:id, DELETE} route;
2022-02-05T00:57:13.876Z | info | TaskController {/boards/:boardId}:;
2022-02-05T00:57:13.877Z | info | Mapped {/boards/:boardId/tasks, POST} route;
2022-02-05T00:57:13.878Z | info | Mapped {/boards/:boardId/tasks, GET} route;
2022-02-05T00:57:13.878Z | info | Mapped {/boards/:boardId/tasks/:taskId, GET} route;
2022-02-05T00:57:13.879Z | info | Mapped {/boards/:boardId/tasks/:taskId, PUT} route;
2022-02-05T00:57:13.880Z | info | Mapped {/boards/:boardId/tasks/:taskId, DELETE} route;
2022-02-05T00:57:13.880Z | info | LoginController {/login}:;
2022-02-05T00:57:13.881Z | info | Mapped {/login, POST} route;
2022-02-05T00:57:13.884Z | info | Nest application successfully started;
2022-02-05T00:57:13.891Z | info | Server started on port 4000;
2022-02-05T01:00:01.476Z | info | Starting Nest application...;
2022-02-05T01:00:01.546Z | info | TypeOrmModule dependencies initialized;
2022-02-05T01:00:01.546Z | info | ColumnModule dependencies initialized;
2022-02-05T01:00:01.546Z | info | AppModule dependencies initialized;
2022-02-05T01:00:01.616Z | info | TypeOrmCoreModule dependencies initialized;
2022-02-05T01:00:01.616Z | info | TypeOrmModule dependencies initialized;
2022-02-05T01:00:01.616Z | info | TypeOrmModule dependencies initialized;
2022-02-05T01:00:01.616Z | info | TypeOrmModule dependencies initialized;
2022-02-05T01:00:01.617Z | info | TypeOrmModule dependencies initialized;
2022-02-05T01:00:01.621Z | info | UserModule dependencies initialized;
2022-02-05T01:00:01.621Z | info | BoardModule dependencies initialized;
2022-02-05T01:00:01.621Z | info | LoginModule dependencies initialized;
2022-02-05T01:00:01.621Z | info | TaskModule dependencies initialized;
2022-02-05T01:00:01.654Z | info | UserController {/users}:;
2022-02-05T01:00:01.657Z | info | Mapped {/users, POST} route;
2022-02-05T01:00:01.658Z | info | Mapped {/users, GET} route;
2022-02-05T01:00:01.659Z | info | Mapped {/users/:id, GET} route;
2022-02-05T01:00:01.660Z | info | Mapped {/users/:id, PUT} route;
2022-02-05T01:00:01.661Z | info | Mapped {/users/:id, DELETE} route;
2022-02-05T01:00:01.661Z | info | BoardController {/boards}:;
2022-02-05T01:00:01.662Z | info | Mapped {/boards, POST} route;
2022-02-05T01:00:01.663Z | info | Mapped {/boards, GET} route;
2022-02-05T01:00:01.664Z | info | Mapped {/boards/:id, GET} route;
2022-02-05T01:00:01.664Z | info | Mapped {/boards/:id, PUT} route;
2022-02-05T01:00:01.665Z | info | Mapped {/boards/:id, DELETE} route;
2022-02-05T01:00:01.665Z | info | TaskController {/boards/:boardId}:;
2022-02-05T01:00:01.666Z | info | Mapped {/boards/:boardId/tasks, POST} route;
2022-02-05T01:00:01.667Z | info | Mapped {/boards/:boardId/tasks, GET} route;
2022-02-05T01:00:01.668Z | info | Mapped {/boards/:boardId/tasks/:taskId, GET} route;
2022-02-05T01:00:01.672Z | info | Mapped {/boards/:boardId/tasks/:taskId, PUT} route;
2022-02-05T01:00:01.673Z | info | Mapped {/boards/:boardId/tasks/:taskId, DELETE} route;
2022-02-05T01:00:01.673Z | info | LoginController {/login}:;
2022-02-05T01:00:01.674Z | info | Mapped {/login, POST} route;
2022-02-05T01:00:01.677Z | info | Nest application successfully started;
2022-02-05T01:00:01.684Z | info | Server started on port 4000;
2022-02-05T01:02:22.144Z | info | Starting Nest application...;
2022-02-05T01:02:22.221Z | info | TypeOrmModule dependencies initialized;
2022-02-05T01:02:22.221Z | info | ColumnModule dependencies initialized;
2022-02-05T01:02:22.221Z | info | AppModule dependencies initialized;
2022-02-05T01:02:22.312Z | info | TypeOrmCoreModule dependencies initialized;
2022-02-05T01:02:22.312Z | info | TypeOrmModule dependencies initialized;
2022-02-05T01:02:22.313Z | info | TypeOrmModule dependencies initialized;
2022-02-05T01:02:22.313Z | info | TypeOrmModule dependencies initialized;
2022-02-05T01:02:22.313Z | info | TypeOrmModule dependencies initialized;
2022-02-05T01:02:22.318Z | info | UserModule dependencies initialized;
2022-02-05T01:02:22.318Z | info | BoardModule dependencies initialized;
2022-02-05T01:02:22.318Z | info | LoginModule dependencies initialized;
2022-02-05T01:02:22.318Z | info | TaskModule dependencies initialized;
2022-02-05T01:02:22.360Z | info | UserController {/users}:;
2022-02-05T01:02:22.363Z | info | Mapped {/users, POST} route;
2022-02-05T01:02:22.365Z | info | Mapped {/users, GET} route;
2022-02-05T01:02:22.367Z | info | Mapped {/users/:id, GET} route;
2022-02-05T01:02:22.368Z | info | Mapped {/users/:id, PUT} route;
2022-02-05T01:02:22.373Z | info | Mapped {/users/:id, DELETE} route;
2022-02-05T01:02:22.373Z | info | BoardController {/boards}:;
2022-02-05T01:02:22.374Z | info | Mapped {/boards, POST} route;
2022-02-05T01:02:22.375Z | info | Mapped {/boards, GET} route;
2022-02-05T01:02:22.376Z | info | Mapped {/boards/:id, GET} route;
2022-02-05T01:02:22.377Z | info | Mapped {/boards/:id, PUT} route;
2022-02-05T01:02:22.378Z | info | Mapped {/boards/:id, DELETE} route;
2022-02-05T01:02:22.378Z | info | TaskController {/boards/:boardId}:;
2022-02-05T01:02:22.379Z | info | Mapped {/boards/:boardId/tasks, POST} route;
2022-02-05T01:02:22.379Z | info | Mapped {/boards/:boardId/tasks, GET} route;
2022-02-05T01:02:22.380Z | info | Mapped {/boards/:boardId/tasks/:taskId, GET} route;
2022-02-05T01:02:22.381Z | info | Mapped {/boards/:boardId/tasks/:taskId, PUT} route;
